merchant_id,merchant_category,merchant_city,merchant_risk_score
M20079,Electronics,Chandigarh,0.232
M20080,Utilities,Pune,0.072
M20081,Digital Services,Bengaluru,0.312
M20082,Travel,Chandigarh,0.276
M20083,Utilities,Chandigarh,0.134
M20084,Gaming,Bengaluru,0.341
M20085,Gaming,Delhi,0.352
M20086,Grocery,Delhi,0.096
M20087,Utilities,Pune,0.046
M20088,Utilities,Bengaluru,0.087
M20089,Grocery,Jaipur,0.095
M20090,Jewellery,Bengaluru,0.384
M20091,Travel,Pune,0.273
M20092,Utilities,Delhi,0.091
M20093,Gaming,Chennai,0.406
M20094,Utilities,Kolkata,0.046
M20095,Grocery,Chandigarh,0.087
M20096,Food Delivery,Bengaluru,0.046
M20097,Fashion,Ahmedabad,0.121
M20098,Fashion,Pune,0.194
M20099,Grocery,Ahmedabad,0.142
M20100,Food Delivery,Pune,0.157
M20101,Utilities,Mumbai,0.144
M20102,Electronics,Delhi,0.31
M20103,Grocery,Ahmedabad,0.108
M20104,Digital Services,Ahmedabad,0.286
M20105,Electronics,Pune,0.251
M20106,Fashion,Delhi,0.092
M20107,Jewellery,Mumbai,0.388
M20108,Fashion,Ahmedabad,0.153
M20109,Fashion,Kolkata,0.171
M20110,Grocery,Pune,0.07
M20111,Utilities,Mumbai,0.059
M20112,Utilities,Pune,0.121
M20113,Electronics,Jaipur,0.231
M20114,Food Delivery,Hyderabad,0.122
M20115,Grocery,Mumbai,0.078
M20116,Electronics,Bengaluru,0.21
M20117,Utilities,Delhi,0.068
M20118,Digital Services,Pune,0.216
M20119,Utilities,Mumbai,0.067
M20120,Utilities,Mumbai,0.09
M20121,Gaming,Lucknow,0.248
M20122,Grocery,Noida,0.153
M20123,Food Delivery,Lucknow,0.261
M20124,Gaming,Pune,0.304
M20125,Utilities,Bengaluru,0.06
M20126,Gaming,Mumbai,0.309
M20127,Fashion,Hyderabad,0.117
M20128,Food Delivery,Delhi,0.216
M20129,Utilities,Jaipur,0.072
M20130,Travel,Lucknow,0.277
M20131,Fashion,Hyderabad,0.219
M20132,Grocery,Bengaluru,0.153
M20133,Food Delivery,Kolkata,0.177
M20134,Gaming,Pune,0.287
M20135,Fashion,Pune,0.207
M20136,Utilities,Noida,0.069
M20137,Digital Services,Bengaluru,0.33
M20138,Electronics,Bengaluru,0.246
M20139,Food Delivery,Mumbai,0.072
M20140,Fashion,Delhi,0.164
M20141,Electronics,Hyderabad,0.313
M20142,Food Delivery,Lucknow,0.043
M20143,Fashion,Delhi,0.145
M20144,Food Delivery,Chennai,0.074
M20145,Gaming,Bengaluru,0.385
M20146,Fashion,Jaipur,0.138
M20147,Grocery,Kolkata,0.154
M20148,Digital Services,Mumbai,0.221
M20149,Digital Services,Delhi,0.267
M20150,Electronics,Jaipur,0.221
M20151,Healthcare,Kolkata,0.098
M20152,Digital Services,Mumbai,0.204
M20153,Electronics,Bengaluru,0.352
M20154,Travel,Bengaluru,0.292
M20155,Grocery,Hyderabad,0.113
M20156,Travel,Mumbai,0.289
M20157,Fashion,Chennai,0.141
M20158,Grocery,Delhi,0.131
M20159,Food Delivery,Ahmedabad,0.12
M20160,Grocery,Chennai,0.127
M20161,Fashion,Jaipur,0.169
M20162,Healthcare,Pune,0.101
M20163,Gaming,Noida,0.262
M20164,Utilities,Gurugram,0.054
M20165,Electronics,Pune,0.365
M20166,Food Delivery,Pune,0.118
M20167,Electronics,Bengaluru,0.251
M20168,Travel,Gurugram,0.246
M20169,Food Delivery,Lucknow,0.055
M20170,Fashion,Delhi,0.142
M20171,Food Delivery,Bengaluru,0.132
M20172,Food Delivery,Ahmedabad,0.146
M20173,Grocery,Bengaluru,0.119
M20174,Grocery,Lucknow,0.172
M20175,Grocery,Noida,0.073
M20176,Jewellery,Mumbai,0.336
M20177,Digital Services,Chennai,0.237
M20178,Grocery,Kanpur,0.078
M20179,Fashion,Chennai,0.172
M20180,Fashion,Delhi,0.151
M20181,Food Delivery,Jaipur,0.13
M20182,Fashion,Delhi,0.168
M20183,Digital Services,Chennai,0.293
M20184,Electronics,Indore,0.283
M20185,Travel,Kanpur,0.253
M20186,Electronics,Pune,0.364
M20187,Fashion,Delhi,0.09
M20188,Electronics,Hyderabad,0.292
M20189,Grocery,Delhi,0.098
M20190,Jewellery,Kolkata,0.406
M20191,Food Delivery,Ahmedabad,0.149
M20192,Gaming,Pune,0.306
M20193,Fashion,Pune,0.138
M20194,Grocery,Bengaluru,0.136
M20195,Digital Services,Hyderabad,0.246
M20196,Fashion,Chandigarh,0.12
M20197,Utilities,Noida,0.119
M20198,Jewellery,Ahmedabad,0.432
M20199,Food Delivery,Kanpur,0.13
M20200,Fashion,Ahmedabad,0.182
M20201,Electronics,Kolkata,0.309
M20202,Grocery,Ahmedabad,0.099
M20203,Grocery,Delhi,0.117
M20204,Gaming,Indore,0.289
M20205,Digital Services,Hyderabad,0.244
M20206,Utilities,Mumbai,0.126
M20207,Fashion,Delhi,0.262
M20208,Grocery,Kolkata,0.109
M20209,Electronics,Kolkata,0.242
M20210,Healthcare,Chennai,0.087
M20211,Electronics,Chennai,0.218
M20212,Food Delivery,Kolkata,0.153
M20213,Digital Services,Ahmedabad,0.255
M20214,Digital Services,Delhi,0.21
M20215,Electronics,Delhi,0.274
M20216,Digital Services,Mumbai,0.285
M20217,Fashion,Pune,0.165
M20218,Healthcare,Bengaluru,0.072
M20219,Electronics,Gurugram,0.329
M20220,Grocery,Bengaluru,0.118
M20221,Utilities,Pune,0.049
M20222,Travel,Bengaluru,0.244
M20223,Digital Services,Bengaluru,0.158
M20224,Fashion,Bengaluru,0.175
M20225,Fashion,Pune,0.289
M20226,Food Delivery,Bengaluru,0.172
M20227,Utilities,Delhi,0.075
M20228,Grocery,Delhi,0.114
M20229,Food Delivery,Chennai,0.147
M20230,Electronics,Hyderabad,0.31
M20231,Electronics,Kanpur,0.278
M20232,Grocery,Mumbai,0.02
M20233,Grocery,Bengaluru,0.087
M20234,Fashion,Kolkata,0.136
M20235,Food Delivery,Kolkata,0.118
M20236,Fashion,Mumbai,0.129
M20237,Grocery,Delhi,0.13
M20238,Travel,Delhi,0.334
M20239,Healthcare,Indore,0.147
M20240,Healthcare,Noida,0.1
M20241,Food Delivery,Chandigarh,0.191
M20242,Food Delivery,Delhi,0.165
M20243,Fashion,Kolkata,0.195
M20244,Travel,Chennai,0.217
M20245,Utilities,Ahmedabad,0.076
M20246,Travel,Delhi,0.269
M20247,Healthcare,Mumbai,0.2
M20248,Food Delivery,Mumbai,0.187
M20249,Fashion,Chennai,0.189
M20250,Digital Services,Indore,0.26
M20251,Jewellery,Mumbai,0.437
M20252,Fashion,Pune,0.187
M20253,Utilities,Delhi,0.152
M20254,Digital Services,Mumbai,0.203
M20255,Food Delivery,Pune,0.124
M20256,Digital Services,Bengaluru,0.287
M20257,Grocery,Ahmedabad,0.167
M20258,Digital Services,Bengaluru,0.341
M20259,Gaming,Mumbai,0.277
M20260,Grocery,Ahmedabad,0.07
M20261,Grocery,Kolkata,0.1
M20262,Utilities,Noida,0.027
M20263,Electronics,Kolkata,0.358
M20264,Grocery,Mumbai,0.108
M20265,Electronics,Lucknow,0.336
M20266,Grocery,Chennai,0.095
M20267,Grocery,Mumbai,0.121
M20268,Food Delivery,Jaipur,0.061
M20269,Food Delivery,Jaipur,0.075
M20270,Travel,Chandigarh,0.196
M20271,Utilities,Chennai,0.02
M20272,Grocery,Jaipur,0.149
M20273,Jewellery,Ahmedabad,0.402
M20274,Digital Services,Chennai,0.3
M20275,Digital Services,Delhi,0.248
M20276,Electronics,Hyderabad,0.333
M20277,Healthcare,Delhi,0.146
M20278,Utilities,Bengaluru,0.077
M20279,Travel,Kanpur,0.252
M20280,Digital Services,Delhi,0.269
M20281,Electronics,Lucknow,0.333
M20282,Food Delivery,Mumbai,0.121
M20283,Electronics,Chennai,0.299
M20284,Electronics,Ahmedabad,0.216
M20285,Healthcare,Kanpur,0.063
M20286,Food Delivery,Mumbai,0.09
M20287,Gaming,Jaipur,0.366
M20288,Fashion,Kanpur,0.131
M20289,Digital Services,Delhi,0.258
M20290,Travel,Mumbai,0.235
M20291,Fashion,Delhi,0.163
M20292,Electronics,Delhi,0.322
M20293,Electronics,Delhi,0.29
M20294,Utilities,Pune,0.071
M20295,Fashion,Delhi,0.181
M20296,Fashion,Ahmedabad,0.235
M20297,Fashion,Chennai,0.165
M20298,Fashion,Hyderabad,0.105
M20299,Food Delivery,Kanpur,0.061
M20300,Digital Services,Pune,0.237
M20301,Digital Services,Bengaluru,0.199
M20302,Digital Services,Mumbai,0.142
M20303,Food Delivery,Chennai,0.107
M20304,Digital Services,Ahmedabad,0.267
M20305,Fashion,Kolkata,0.222
M20306,Electronics,Jaipur,0.279
M20307,Jewellery,Jaipur,0.414
M20308,Utilities,Chennai,0.103
M20309,Fashion,Bengaluru,0.164
M20310,Electronics,Lucknow,0.25
M20311,Fashion,Hyderabad,0.258
M20312,Travel,Delhi,0.196
M20313,Healthcare,Kanpur,0.119
M20314,Fashion,Delhi,0.125
M20315,Travel,Delhi,0.245
M20316,Electronics,Delhi,0.298
M20317,Utilities,Delhi,0.071
M20318,Food Delivery,Bengaluru,0.065
M20319,Grocery,Pune,0.084
M20320,Electronics,Delhi,0.331
M20321,Fashion,Kanpur,0.092
M20322,Food Delivery,Hyderabad,0.193
M20323,Grocery,Hyderabad,0.104
M20324,Food Delivery,Kolkata,0.152
M20325,Electronics,Mumbai,0.233
M20326,Jewellery,Bengaluru,0.393
M20327,Healthcare,Kolkata,0.07
M20328,Food Delivery,Hyderabad,0.133
M20329,Electronics,Mumbai,0.231
M20330,Electronics,Chennai,0.252
M20331,Grocery,Delhi,0.193
M20332,Fashion,Kanpur,0.189
M20333,Grocery,Mumbai,0.117
M20334,Food Delivery,Mumbai,0.136
M20335,Healthcare,Pune,0.166
M20336,Grocery,Delhi,0.094
M20337,Jewellery,Lucknow,0.442
M20338,Fashion,Delhi,0.054
M20339,Grocery,Hyderabad,0.095
M20340,Grocery,Ahmedabad,0.086
M20341,Grocery,Mumbai,0.076
M20342,Food Delivery,Chandigarh,0.153
M20343,Electronics,Jaipur,0.274
M20344,Travel,Bengaluru,0.233
M20345,Utilities,Hyderabad,0.045
M20346,Fashion,Delhi,0.142
M20347,Electronics,Hyderabad,0.19
M20348,Healthcare,Bengaluru,0.086
M20349,Electronics,Bengaluru,0.216
M20350,Utilities,Jaipur,0.15
M20351,Gaming,Jaipur,0.373
M20352,Utilities,Bengaluru,0.121
M20353,Travel,Mumbai,0.181
M20354,Digital Services,Mumbai,0.288
M20355,Grocery,Gurugram,0.07
M20356,Food Delivery,Mumbai,0.132
M20357,Gaming,Kolkata,0.332
M20358,Healthcare,Mumbai,0.038
M20359,Food Delivery,Jaipur,0.073
M20360,Gaming,Bengaluru,0.37
M20361,Digital Services,Bengaluru,0.278
M20362,Fashion,Mumbai,0.098
M20363,Food Delivery,Indore,0.171
M20364,Gaming,Chennai,0.323
M20365,Electronics,Delhi,0.222
M20366,Fashion,Mumbai,0.135
M20367,Gaming,Kolkata,0.279
M20368,Fashion,Delhi,0.127
M20369,Jewellery,Chennai,0.378
M20370,Food Delivery,Delhi,0.143
M20371,Gaming,Hyderabad,0.377
M20372,Grocery,Jaipur,0.148
M20373,Digital Services,Mumbai,0.285
M20374,Digital Services,Delhi,0.164
M20375,Gaming,Noida,0.275
M20376,Electronics,Kolkata,0.329
M20377,Food Delivery,Kanpur,0.099
M20378,Grocery,Mumbai,0.094
M20379,Grocery,Kanpur,0.128
M20380,Fashion,Jaipur,0.218
M20381,Electronics,Mumbai,0.301
M20382,Digital Services,Hyderabad,0.211
M20383,Utilities,Hyderabad,0.025
M20384,Gaming,Kanpur,0.292
M20385,Utilities,Kolkata,0.135
M20386,Fashion,Ahmedabad,0.199
M20387,Digital Services,Noida,0.252
M20388,Food Delivery,Bengaluru,0.056
M20389,Electronics,Mumbai,0.32
M20390,Gaming,Hyderabad,0.349
M20391,Food Delivery,Gurugram,0.086
M20392,Food Delivery,Kolkata,0.118
M20393,Electronics,Mumbai,0.303
M20394,Food Delivery,Chandigarh,0.1
M20395,Grocery,Chennai,0.053
M20396,Utilities,Hyderabad,0.088
M20397,Food Delivery,Chennai,0.131
M20398,Gaming,Chennai,0.255
M20399,Food Delivery,Noida,0.117
M20400,Digital Services,Bengaluru,0.212
M20401,Grocery,Kolkata,0.121
M20402,Travel,Mumbai,0.163
M20403,Gaming,Hyderabad,0.283
M20404,Food Delivery,Noida,0.02
M20405,Utilities,Jaipur,0.099
M20406,Digital Services,Noida,0.183
M20407,Travel,Mumbai,0.18
M20408,Utilities,Hyderabad,0.076
M20409,Travel,Chennai,0.233
M20410,Utilities,Mumbai,0.109
M20411,Travel,Chennai,0.273
M20412,Travel,Hyderabad,0.291
M20413,Digital Services,Mumbai,0.323
M20414,Gaming,Mumbai,0.387
M20415,Gaming,Chennai,0.355
M20416,Food Delivery,Mumbai,0.13
M20417,Grocery,Hyderabad,0.128
M20418,Fashion,Chandigarh,0.069
M20419,Grocery,Hyderabad,0.093
M20420,Utilities,Pune,0.02
M20421,Utilities,Hyderabad,0.047
M20422,Grocery,Mumbai,0.034
M20423,Travel,Jaipur,0.257
M20424,Jewellery,Ahmedabad,0.427
M20425,Grocery,Hyderabad,0.155
M20426,Fashion,Delhi,0.116
M20427,Grocery,Ahmedabad,0.07
M20428,Travel,Bengaluru,0.289
M20429,Food Delivery,Chennai,0.097
M20430,Fashion,Delhi,0.128
M20431,Healthcare,Hyderabad,0.132
M20432,Fashion,Noida,0.183
M20433,Grocery,Bengaluru,0.143
M20434,Utilities,Hyderabad,0.102
M20435,Electronics,Chennai,0.262
M20436,Utilities,Bengaluru,0.142
M20437,Travel,Indore,0.28
M20438,Electronics,Mumbai,0.279
M20439,Grocery,Mumbai,0.14
M20440,Healthcare,Pune,0.099
M20441,Electronics,Pune,0.238
M20442,Digital Services,Bengaluru,0.255
M20443,Food Delivery,Mumbai,0.207
M20444,Utilities,Mumbai,0.127
M20445,Food Delivery,Delhi,0.139
M20446,Digital Services,Hyderabad,0.21
M20447,Electronics,Pune,0.227
M20448,Fashion,Pune,0.149
M20449,Jewellery,Kolkata,0.373
M20450,Electronics,Mumbai,0.281
M20451,Food Delivery,Chennai,0.127
M20452,Jewellery,Mumbai,0.336
M20453,Digital Services,Kolkata,0.212
M20454,Utilities,Bengaluru,0.064
M20455,Grocery,Pune,0.12
M20456,Food Delivery,Chennai,0.141
M20457,Gaming,Lucknow,0.293
M20458,Fashion,Mumbai,0.105
M20459,Gaming,Chennai,0.297
M20460,Digital Services,Bengaluru,0.286
M20461,Food Delivery,Mumbai,0.099
M20462,Travel,Chennai,0.245
M20463,Utilities,Jaipur,0.099
M20464,Electronics,Pune,0.335
M20465,Gaming,Mumbai,0.285
M20466,Travel,Kolkata,0.295
M20467,Food Delivery,Ahmedabad,0.146
M20468,Travel,Mumbai,0.315
M20469,Fashion,Hyderabad,0.223
M20470,Grocery,Bengaluru,0.105
M20471,Food Delivery,Ahmedabad,0.086
M20472,Digital Services,Bengaluru,0.28
M20473,Fashion,Delhi,0.11
M20474,Food Delivery,Chennai,0.13
M20475,Utilities,Ahmedabad,0.047
M20476,Food Delivery,Hyderabad,0.109
M20477,Jewellery,Kanpur,0.302
M20478,Digital Services,Kolkata,0.246
M20479,Healthcare,Mumbai,0.105
M20480,Fashion,Indore,0.136
M20481,Grocery,Ahmedabad,0.096
M20482,Fashion,Delhi,0.111
M20483,Food Delivery,Bengaluru,0.155
M20484,Grocery,Hyderabad,0.101
M20485,Healthcare,Mumbai,0.201
M20486,Jewellery,Kanpur,0.413
M20487,Food Delivery,Mumbai,0.137
M20488,Food Delivery,Delhi,0.099
M20489,Fashion,Chennai,0.214
M20490,Digital Services,Jaipur,0.231
M20491,Travel,Gurugram,0.318
M20492,Electronics,Mumbai,0.356
M20493,Digital Services,Mumbai,0.227
M20494,Healthcare,Kolkata,0.088
M20495,Fashion,Bengaluru,0.127
M20496,Food Delivery,Mumbai,0.06
M20497,Food Delivery,Mumbai,0.133
M20498,Healthcare,Indore,0.1
M20499,Food Delivery,Ahmedabad,0.15
M20500,Fashion,Bengaluru,0.158
M20501,Food Delivery,Pune,0.159
M20502,Digital Services,Kanpur,0.248
M20503,Grocery,Noida,0.091
M20504,Food Delivery,Chennai,0.124
M20505,Grocery,Gurugram,0.134
M20506,Electronics,Ahmedabad,0.263
M20507,Gaming,Chennai,0.381
M20508,Gaming,Hyderabad,0.307
M20509,Healthcare,Gurugram,0.086
M20510,Food Delivery,Delhi,0.036
M20511,Utilities,Chennai,0.065
M20512,Travel,Mumbai,0.19
M20513,Electronics,Mumbai,0.305
M20514,Travel,Mumbai,0.263
M20515,Grocery,Bengaluru,0.155
M20516,Food Delivery,Jaipur,0.195
M20517,Food Delivery,Delhi,0.113
M20518,Electronics,Lucknow,0.247
M20519,Travel,Chandigarh,0.261
M20520,Food Delivery,Chennai,0.103
M20521,Travel,Jaipur,0.213
M20522,Electronics,Kolkata,0.279
M20523,Digital Services,Hyderabad,0.224
M20524,Utilities,Bengaluru,0.173
M20525,Electronics,Kolkata,0.268
M20526,Travel,Delhi,0.239
M20527,Fashion,Bengaluru,0.196
M20528,Digital Services,Delhi,0.349
M20529,Utilities,Pune,0.07
M20530,Food Delivery,Delhi,0.036
M20531,Grocery,Jaipur,0.097
M20532,Electronics,Chennai,0.203
M20533,Digital Services,Ahmedabad,0.227
M20534,Travel,Hyderabad,0.307
M20535,Grocery,Jaipur,0.064
M20536,Travel,Kanpur,0.193
M20537,Food Delivery,Hyderabad,0.159
M20538,Electronics,Bengaluru,0.27
M20539,Fashion,Ahmedabad,0.214
M20540,Electronics,Indore,0.267
M20541,Travel,Delhi,0.269
M20542,Digital Services,Ahmedabad,0.181
M20543,Travel,Mumbai,0.198
M20544,Utilities,Chandigarh,0.072
M20545,Grocery,Jaipur,0.082
M20546,Utilities,Gurugram,0.192
M20547,Travel,Mumbai,0.286
M20548,Fashion,Mumbai,0.205
M20549,Food Delivery,Hyderabad,0.112
M20550,Fashion,Mumbai,0.097
M20551,Utilities,Mumbai,0.155
M20552,Utilities,Mumbai,0.02
M20553,Electronics,Mumbai,0.255
M20554,Travel,Mumbai,0.266
M20555,Grocery,Bengaluru,0.217
M20556,Grocery,Chennai,0.178
M20557,Electronics,Mumbai,0.308
M20558,Food Delivery,Kolkata,0.217
M20559,Utilities,Pune,0.058
M20560,Digital Services,Bengaluru,0.27
M20561,Fashion,Bengaluru,0.226
M20562,Grocery,Chandigarh,0.037
M20563,Food Delivery,Bengaluru,0.137
M20564,Electronics,Noida,0.3
M20565,Food Delivery,Delhi,0.138
M20566,Travel,Delhi,0.193
M20567,Electronics,Lucknow,0.3
M20568,Electronics,Pune,0.293
M20569,Fashion,Jaipur,0.135
M20570,Grocery,Pune,0.135
M20571,Gaming,Indore,0.401
M20572,Fashion,Mumbai,0.128
M20573,Gaming,Delhi,0.362
M20574,Food Delivery,Mumbai,0.182
M20575,Electronics,Kolkata,0.343
M20576,Fashion,Bengaluru,0.153
M20577,Digital Services,Jaipur,0.298
M20578,Fashion,Mumbai,0.149
M20579,Grocery,Delhi,0.137
M20580,Food Delivery,Mumbai,0.087
M20581,Fashion,Chandigarh,0.092
M20582,Travel,Ahmedabad,0.264
M20583,Electronics,Mumbai,0.32
M20584,Grocery,Kolkata,0.132
M20585,Food Delivery,Hyderabad,0.083
M20586,Travel,Noida,0.129
M20587,Fashion,Mumbai,0.199
M20588,Digital Services,Mumbai,0.316
M20589,Electronics,Delhi,0.195
M20590,Food Delivery,Gurugram,0.106
M20591,Healthcare,Noida,0.058
M20592,Travel,Mumbai,0.251
M20593,Utilities,Chennai,0.14
M20594,Food Delivery,Kolkata,0.11
M20595,Fashion,Mumbai,0.137
M20596,Jewellery,Mumbai,0.418
M20597,Fashion,Mumbai,0.064
M20598,Travel,Ahmedabad,0.278
M20599,Food Delivery,Gurugram,0.168
M20600,Food Delivery,Mumbai,0.12
M20601,Food Delivery,Delhi,0.1
M20602,Gaming,Hyderabad,0.327
M20603,Gaming,Hyderabad,0.328
M20604,Food Delivery,Delhi,0.117
M20605,Travel,Delhi,0.17
M20606,Grocery,Delhi,0.119
M20607,Gaming,Delhi,0.323
M20608,Digital Services,Lucknow,0.251
M20609,Electronics,Hyderabad,0.254
M20610,Electronics,Noida,0.297
M20611,Digital Services,Lucknow,0.31
M20612,Fashion,Chennai,0.169
M20613,Gaming,Lucknow,0.266
M20614,Travel,Delhi,0.24
M20615,Food Delivery,Kolkata,0.129
M20616,Fashion,Gurugram,0.158
M20617,Utilities,Pune,0.046
M20618,Travel,Chennai,0.238
M20619,Travel,Kolkata,0.278
M20620,Food Delivery,Mumbai,0.107
M20621,Digital Services,Bengaluru,0.312
M20622,Utilities,Delhi,0.051
M20623,Grocery,Mumbai,0.054
M20624,Fashion,Ahmedabad,0.15
M20625,Grocery,Kolkata,0.02
M20626,Digital Services,Kanpur,0.25
M20627,Electronics,Kolkata,0.265
M20628,Utilities,Jaipur,0.111
M20629,Food Delivery,Delhi,0.043
M20630,Utilities,Mumbai,0.114
M20631,Gaming,Bengaluru,0.347
M20632,Electronics,Mumbai,0.351
M20633,Travel,Jaipur,0.232
M20634,Grocery,Hyderabad,0.115
M20635,Electronics,Gurugram,0.309
M20636,Grocery,Mumbai,0.02
M20637,Healthcare,Gurugram,0.15
M20638,Electronics,Ahmedabad,0.274
M20639,Grocery,Jaipur,0.043
M20640,Electronics,Chennai,0.277
M20641,Electronics,Bengaluru,0.333
M20642,Grocery,Ahmedabad,0.085
M20643,Gaming,Indore,0.345
M20644,Gaming,Mumbai,0.25
M20645,Food Delivery,Pune,0.081
M20646,Healthcare,Delhi,0.132
M20647,Grocery,Hyderabad,0.148
M20648,Food Delivery,Pune,0.129
M20649,Food Delivery,Delhi,0.146
M20650,Gaming,Mumbai,0.322
M20651,Fashion,Mumbai,0.161
M20652,Fashion,Mumbai,0.112
M20653,Fashion,Mumbai,0.138
M20654,Fashion,Delhi,0.159
M20655,Food Delivery,Hyderabad,0.05
M20656,Electronics,Hyderabad,0.388
M20657,Healthcare,Mumbai,0.068
M20658,Digital Services,Mumbai,0.259
M20659,Fashion,Delhi,0.104
M20660,Digital Services,Mumbai,0.114
M20661,Travel,Delhi,0.317
M20662,Grocery,Mumbai,0.103
M20663,Jewellery,Mumbai,0.302
M20664,Fashion,Kolkata,0.114
M20665,Grocery,Mumbai,0.193
M20666,Electronics,Hyderabad,0.302
M20667,Utilities,Jaipur,0.02
M20668,Electronics,Mumbai,0.257
M20669,Utilities,Bengaluru,0.072
M20670,Healthcare,Pune,0.124
M20671,Digital Services,Delhi,0.25
M20672,Jewellery,Chennai,0.322
M20673,Electronics,Kolkata,0.251
M20674,Food Delivery,Gurugram,0.079
M20675,Jewellery,Indore,0.434
M20676,Electronics,Delhi,0.256
M20677,Digital Services,Kanpur,0.225
M20678,Utilities,Mumbai,0.068
M20679,Digital Services,Hyderabad,0.211
M20680,Fashion,Hyderabad,0.228
M20681,Electronics,Mumbai,0.331
M20682,Digital Services,Bengaluru,0.303
M20683,Electronics,Jaipur,0.224
M20684,Jewellery,Delhi,0.416
M20685,Grocery,Pune,0.135
M20686,Fashion,Indore,0.114
M20687,Food Delivery,Mumbai,0.067
M20688,Digital Services,Mumbai,0.205
M20689,Travel,Bengaluru,0.174
M20690,Food Delivery,Mumbai,0.167
M20691,Fashion,Mumbai,0.203
M20692,Electronics,Hyderabad,0.265
M20693,Utilities,Kolkata,0.077
M20694,Utilities,Ahmedabad,0.049
M20695,Healthcare,Mumbai,0.204
M20696,Grocery,Pune,0.08
M20697,Grocery,Ahmedabad,0.076
M20698,Food Delivery,Pune,0.114
M20699,Travel,Hyderabad,0.181
M20700,Food Delivery,Hyderabad,0.132
M20701,Electronics,Jaipur,0.344
M20702,Healthcare,Delhi,0.092
M20703,Travel,Delhi,0.276
M20704,Gaming,Mumbai,0.252
M20705,Electronics,Hyderabad,0.237
M20706,Grocery,Kolkata,0.104
M20707,Fashion,Chennai,0.077
M20708,Fashion,Mumbai,0.175
M20709,Fashion,Chandigarh,0.146
M20710,Electronics,Bengaluru,0.293
M20711,Travel,Mumbai,0.23
M20712,Travel,Pune,0.233
M20713,Electronics,Mumbai,0.163
M20714,Fashion,Noida,0.111
M20715,Food Delivery,Pune,0.143
M20716,Grocery,Bengaluru,0.036
M20717,Grocery,Bengaluru,0.056
M20718,Travel,Mumbai,0.22
M20719,Grocery,Hyderabad,0.084
M20720,Utilities,Chennai,0.112
M20721,Food Delivery,Delhi,0.13
M20722,Grocery,Kolkata,0.07
