customer_id,age,gender,city,account_age_days,account_type,preferred_device,preferred_payment_method
C10067,25,Female,Bengaluru,439,Basic,Android,Card
C10068,28,Female,Mumbai,1507,Basic,Android,Card
C10069,32,Male,Hyderabad,287,Premium,Android,UPI
C10070,36,Male,Delhi,604,Premium,Android,UPI
C10071,29,Female,Hyderabad,1171,Standard,Android,UPI
C10072,29,Male,Lucknow,849,Basic,Web,Wallet
C10073,18,Male,Delhi,464,Basic,iOS,Card
C10074,36,Female,Mumbai,165,Standard,Android,UPI
C10075,25,Male,Bengaluru,64,Basic,iOS,UPI
C10076,38,Male,Bengaluru,446,Basic,iOS,Net Banking
C10077,43,Male,Kolkata,643,Standard,Web,Card
C10078,29,Female,Pune,290,Basic,Android,Card
C10079,22,Female,Jaipur,1134,Premium,iOS,Card
C10080,31,Female,Kolkata,1951,Basic,Android,UPI
C10081,34,Female,Hyderabad,1579,Premium,Web,UPI
C10082,28,Female,Lucknow,696,Standard,Web,UPI
C10083,26,Male,Delhi,981,Premium,Android,UPI
C10084,36,Male,Mumbai,1699,Standard,Android,Card
C10085,35,Female,Mumbai,2119,Basic,Android,Card
C10086,28,Male,Ahmedabad,1226,Basic,Android,Net Banking
C10087,18,Female,Hyderabad,462,Basic,Android,UPI
C10088,35,Female,Delhi,1912,Standard,iOS,Card
C10089,24,Male,Chennai,1145,Basic,Android,Wallet
C10090,33,Male,Delhi,94,Standard,Android,UPI
C10091,32,Female,Kolkata,579,Premium,iOS,UPI
C10092,18,Male,Hyderabad,1185,Basic,iOS,Net Banking
C10093,32,Male,Hyderabad,1780,Standard,Android,UPI
C10094,36,Male,Bengaluru,1878,Premium,iOS,Card
C10095,37,Other,Pune,437,Standard,iOS,UPI
C10096,32,Female,Bengaluru,1598,Basic,Android,UPI
C10097,18,Female,Mumbai,2116,Basic,Android,Wallet
C10098,42,Male,Mumbai,1763,Standard,iOS,UPI
C10099,35,Male,Indore,1585,Basic,Android,UPI
C10100,20,Female,Noida,1757,Standard,Android,UPI
C10101,24,Female,Kolkata,1238,Premium,Android,UPI
C10102,33,Female,Bengaluru,1346,Standard,Web,UPI
C10103,37,Female,Indore,1185,Basic,iOS,Card
C10104,27,Female,Jaipur,2103,Basic,iOS,UPI
C10105,38,Male,Ahmedabad,816,Premium,Android,UPI
C10106,18,Female,Hyderabad,1715,Basic,iOS,UPI
C10107,22,Male,Bengaluru,75,Basic,Android,Card
C10108,18,Female,Mumbai,938,Standard,Web,UPI
C10109,23,Female,Noida,2015,Standard,iOS,Net Banking
C10110,45,Male,Hyderabad,557,Basic,iOS,Wallet
C10111,50,Female,Delhi,1755,Standard,Web,UPI
C10112,33,Female,Bengaluru,1120,Standard,Web,UPI
C10113,25,Male,Pune,322,Basic,Android,Card
C10114,29,Female,Delhi,260,Basic,Android,UPI
C10115,35,Female,Lucknow,294,Standard,iOS,Net Banking
C10116,18,Male,Ahmedabad,1039,Basic,Android,Wallet
C10117,26,Female,Ahmedabad,698,Premium,Android,Card
C10118,44,Male,Hyderabad,1971,Basic,Android,UPI
C10119,22,Female,Pune,1686,Standard,Android,UPI
C10120,24,Female,Pune,340,Standard,iOS,UPI
C10121,31,Female,Kolkata,1121,Standard,Android,UPI
C10122,34,Male,Mumbai,1691,Basic,Android,Card
C10123,25,Female,Hyderabad,1449,Standard,Android,UPI
C10124,32,Male,Mumbai,50,Premium,Web,Card
C10125,36,Male,Chennai,43,Basic,Android,Card
C10126,49,Male,Bengaluru,1296,Basic,Web,UPI
C10127,30,Female,Delhi,2034,Basic,Web,Card
C10128,31,Male,Mumbai,139,Basic,Android,Net Banking
C10129,45,Male,Pune,389,Basic,iOS,UPI
C10130,26,Female,Delhi,439,Standard,Android,Card
C10131,19,Male,Noida,722,Premium,Android,UPI
C10132,33,Male,Pune,1962,Premium,Android,Card
C10133,41,Male,Bengaluru,2085,Basic,iOS,Wallet
C10134,34,Male,Pune,695,Standard,Web,Card
C10135,30,Female,Mumbai,1620,Basic,Android,UPI
C10136,18,Female,Indore,51,Basic,Android,UPI
C10137,30,Male,Chennai,1139,Standard,iOS,Wallet
C10138,42,Male,Jaipur,1392,Basic,Android,Card
C10139,20,Male,Mumbai,1902,Basic,Android,UPI
C10140,29,Female,Chennai,1813,Standard,Android,Card
C10141,28,Male,Chennai,162,Standard,iOS,UPI
C10142,25,Male,Gurugram,926,Premium,Android,Wallet
C10143,33,Other,Pune,195,Basic,Android,UPI
C10144,35,Female,Hyderabad,50,Premium,Android,UPI
C10145,35,Male,Bengaluru,366,Basic,Android,UPI
C10146,22,Female,Bengaluru,2054,Basic,Android,UPI
C10147,18,Male,Chennai,604,Standard,Android,Card
C10148,33,Female,Hyderabad,1634,Standard,iOS,Card
C10149,26,Male,Mumbai,1568,Standard,iOS,Card
C10150,48,Female,Lucknow,1912,Standard,Android,UPI
C10151,48,Female,Kanpur,1185,Basic,iOS,Card
C10152,49,Female,Delhi,2146,Premium,Android,Net Banking
C10153,23,Male,Chennai,954,Basic,Android,Card
C10154,36,Male,Mumbai,1738,Standard,Android,Card
C10155,39,Male,Kolkata,1728,Premium,Android,UPI
C10156,38,Male,Bengaluru,1209,Standard,iOS,Net Banking
C10157,28,Female,Kolkata,718,Premium,iOS,UPI
C10158,43,Female,Ahmedabad,374,Standard,Android,Net Banking
C10159,31,Female,Jaipur,215,Basic,Android,UPI
C10160,32,Female,Mumbai,1113,Standard,Android,UPI
C10161,18,Male,Noida,890,Standard,iOS,UPI
C10162,37,Female,Delhi,483,Basic,Web,Wallet
C10163,29,Male,Mumbai,1693,Basic,iOS,Card
C10164,35,Male,Pune,382,Basic,Android,UPI
C10165,33,Male,Bengaluru,1058,Basic,Android,Wallet
C10166,33,Female,Lucknow,960,Premium,Android,UPI
C10167,31,Male,Jaipur,2150,Premium,Android,Net Banking
C10168,38,Male,Bengaluru,256,Standard,Web,Net Banking
C10169,29,Male,Gurugram,1887,Basic,Android,Card
C10170,18,Male,Bengaluru,1515,Basic,Web,UPI
C10171,36,Female,Chennai,1746,Basic,Android,Wallet
C10172,24,Male,Delhi,1717,Basic,Android,Card
C10173,19,Male,Gurugram,1707,Standard,iOS,UPI
C10174,22,Male,Delhi,974,Standard,Android,Card
C10175,34,Male,Mumbai,1291,Standard,Android,UPI
C10176,30,Male,Hyderabad,821,Basic,Android,UPI
C10177,18,Female,Chandigarh,1985,Premium,Android,Card
C10178,28,Female,Kanpur,519,Basic,Android,Card
C10179,42,Male,Ahmedabad,1310,Basic,Web,UPI
C10180,27,Male,Kanpur,487,Basic,iOS,Card
C10181,30,Male,Kanpur,838,Basic,iOS,Wallet
C10182,40,Female,Chennai,2120,Standard,Android,UPI
C10183,38,Male,Bengaluru,455,Standard,Android,UPI
C10184,40,Male,Jaipur,1952,Standard,iOS,UPI
C10185,18,Male,Kolkata,1794,Basic,Android,Wallet
C10186,47,Female,Bengaluru,824,Premium,Android,UPI
C10187,37,Female,Mumbai,835,Standard,Android,UPI
C10188,53,Male,Ahmedabad,42,Premium,Android,Net Banking
C10189,24,Male,Bengaluru,1746,Basic,Android,Card
C10190,18,Female,Gurugram,1475,Premium,Android,UPI
C10191,31,Male,Delhi,2163,Standard,iOS,Wallet
C10192,29,Female,Mumbai,662,Standard,Android,UPI
C10193,37,Female,Lucknow,895,Basic,Android,UPI
C10194,41,Female,Delhi,1519,Basic,Android,UPI
C10195,30,Female,Delhi,769,Standard,iOS,Card
C10196,29,Male,Pune,721,Basic,Android,UPI
C10197,36,Female,Kanpur,399,Standard,Web,Net Banking
C10198,29,Male,Delhi,2174,Standard,Android,Card
C10199,28,Male,Bengaluru,1061,Standard,Android,UPI
C10200,40,Female,Jaipur,1699,Basic,iOS,Net Banking
C10201,42,Female,Indore,1449,Premium,Android,Card
C10202,41,Female,Chennai,1330,Basic,Android,UPI
C10203,29,Male,Delhi,708,Standard,Android,UPI
C10204,18,Male,Mumbai,714,Standard,Android,UPI
C10205,30,Male,Delhi,1083,Basic,Android,UPI
C10206,24,Male,Mumbai,323,Basic,Android,Net Banking
C10207,30,Male,Kolkata,1195,Standard,Android,UPI
C10208,25,Male,Mumbai,227,Standard,iOS,UPI
C10209,31,Male,Chennai,627,Basic,iOS,Card
C10210,22,Male,Kolkata,1403,Basic,Android,Wallet
C10211,19,Female,Pune,81,Standard,Web,UPI
C10212,42,Female,Delhi,127,Basic,Android,UPI
C10213,22,Male,Jaipur,497,Basic,Web,Net Banking
C10214,31,Male,Ahmedabad,1670,Standard,Web,Wallet
C10215,40,Female,Ahmedabad,1772,Basic,iOS,Card
C10216,39,Male,Mumbai,32,Basic,Android,Card
C10217,38,Female,Mumbai,633,Standard,Web,UPI
C10218,34,Male,Noida,153,Standard,Android,Wallet
C10219,38,Male,Hyderabad,59,Standard,Android,Card
C10220,43,Female,Bengaluru,2074,Basic,Web,Card
C10221,35,Male,Chennai,952,Standard,Android,Net Banking
C10222,18,Male,Kolkata,1755,Basic,Android,Net Banking
C10223,26,Male,Indore,1510,Standard,iOS,UPI
C10224,37,Male,Bengaluru,1005,Basic,Web,UPI
C10225,25,Male,Noida,1662,Basic,Android,UPI
C10226,46,Male,Mumbai,569,Standard,Web,Net Banking
C10227,30,Male,Pune,928,Basic,Android,UPI
C10228,32,Female,Kolkata,851,Premium,iOS,Card
C10229,41,Female,Mumbai,1270,Premium,Android,UPI
C10230,29,Female,Delhi,486,Basic,Android,UPI
C10231,33,Female,Hyderabad,1647,Standard,Android,UPI
C10232,39,Male,Indore,1857,Standard,Android,Wallet
C10233,18,Male,Pune,1959,Basic,Android,UPI
C10234,28,Male,Gurugram,1970,Basic,iOS,Net Banking
C10235,38,Female,Jaipur,1418,Premium,Android,UPI
C10236,32,Male,Hyderabad,1761,Basic,iOS,UPI
C10237,44,Male,Jaipur,1529,Standard,Web,UPI
C10238,18,Female,Mumbai,2098,Standard,iOS,UPI
C10239,18,Male,Mumbai,244,Basic,iOS,Card
C10240,38,Female,Lucknow,460,Standard,iOS,UPI
C10241,39,Male,Jaipur,942,Premium,Web,UPI
C10242,29,Female,Delhi,1377,Basic,iOS,UPI
C10243,35,Male,Chennai,1959,Basic,Android,Wallet
C10244,38,Male,Pune,235,Basic,iOS,UPI
C10245,24,Male,Kanpur,378,Standard,iOS,Card
C10246,25,Female,Pune,1897,Standard,iOS,Net Banking
C10247,33,Female,Hyderabad,702,Standard,Android,Wallet
C10248,39,Male,Bengaluru,66,Standard,Android,Card
C10249,21,Female,Hyderabad,1501,Premium,Web,Card
C10250,29,Female,Kolkata,1934,Basic,Web,Card
C10251,29,Male,Kanpur,1987,Standard,Android,Card
C10252,35,Male,Hyderabad,1883,Basic,Android,Net Banking
C10253,31,Male,Delhi,158,Basic,Android,UPI
C10254,26,Female,Delhi,322,Basic,iOS,Card
C10255,42,Male,Ahmedabad,1918,Basic,Android,Wallet
C10256,26,Male,Lucknow,1533,Premium,Web,UPI
C10257,28,Female,Mumbai,508,Standard,Android,Card
C10258,18,Female,Mumbai,871,Standard,Android,UPI
C10259,25,Female,Pune,1898,Basic,Android,UPI
C10260,36,Male,Delhi,2045,Basic,iOS,Card
C10261,34,Female,Lucknow,1959,Premium,iOS,UPI
C10262,36,Male,Bengaluru,1029,Standard,iOS,UPI
C10263,36,Female,Delhi,1712,Standard,Android,Net Banking
C10264,50,Female,Noida,127,Basic,Android,UPI
C10265,24,Male,Delhi,2034,Basic,Android,UPI
C10266,18,Male,Bengaluru,511,Premium,Android,UPI
C10267,22,Male,Delhi,2115,Basic,Android,Wallet
C10268,25,Male,Mumbai,65,Basic,Android,UPI
C10269,22,Female,Mumbai,2037,Standard,iOS,Net Banking
C10270,32,Male,Mumbai,1173,Premium,Android,UPI
C10271,42,Female,Delhi,1143,Basic,iOS,UPI
C10272,45,Male,Mumbai,1498,Standard,Android,UPI
C10273,36,Male,Pune,1036,Basic,Android,UPI
C10274,50,Male,Kolkata,2093,Standard,Android,Net Banking
C10275,28,Female,Hyderabad,258,Basic,Android,Card
C10276,18,Female,Bengaluru,1453,Premium,Android,UPI
C10277,40,Other,Chennai,498,Standard,Web,UPI
C10278,18,Male,Kanpur,110,Premium,Android,UPI
C10279,24,Female,Lucknow,1445,Standard,Android,Card
C10280,36,Female,Mumbai,1500,Premium,Web,Card
C10281,30,Female,Delhi,306,Standard,Android,Card
C10282,29,Female,Delhi,1607,Standard,iOS,Net Banking
C10283,20,Female,Delhi,2074,Basic,iOS,Card
C10284,31,Male,Pune,1539,Standard,Android,UPI
C10285,40,Male,Hyderabad,522,Basic,Android,UPI
C10286,31,Male,Mumbai,213,Standard,iOS,Net Banking
C10287,24,Female,Bengaluru,220,Standard,Android,UPI
C10288,20,Female,Chennai,1372,Standard,Android,UPI
C10289,24,Female,Mumbai,540,Standard,Android,Card
C10290,35,Male,Lucknow,835,Standard,Android,UPI
C10291,34,Male,Mumbai,136,Standard,Web,UPI
C10292,24,Female,Noida,986,Standard,Web,Net Banking
C10293,18,Male,Mumbai,390,Standard,Web,UPI
C10294,35,Male,Lucknow,958,Standard,Android,Card
C10295,23,Male,Noida,1305,Standard,Web,UPI
C10296,37,Male,Indore,2115,Standard,iOS,Card
C10297,24,Other,Jaipur,657,Basic,iOS,Card
C10298,22,Female,Jaipur,726,Basic,iOS,UPI
C10299,32,Male,Kolkata,1768,Standard,iOS,Net Banking
C10300,52,Male,Jaipur,2097,Premium,Android,Card
C10301,38,Male,Mumbai,908,Basic,iOS,Net Banking
C10302,32,Female,Chennai,780,Premium,iOS,UPI
C10303,34,Male,Chennai,1579,Basic,Android,Card
C10304,18,Female,Lucknow,1661,Premium,Android,Wallet
C10305,21,Male,Hyderabad,1566,Premium,Android,Card
C10306,18,Male,Hyderabad,1418,Standard,Android,Net Banking
C10307,47,Female,Kolkata,324,Premium,iOS,UPI
C10308,45,Other,Bengaluru,599,Standard,iOS,Card
C10309,35,Male,Delhi,152,Basic,iOS,Card
C10310,32,Male,Chennai,875,Standard,Android,UPI
C10311,18,Other,Hyderabad,1857,Basic,iOS,Card
C10312,29,Male,Delhi,515,Basic,Android,UPI
C10313,47,Female,Bengaluru,1550,Basic,iOS,Wallet
C10314,32,Male,Bengaluru,943,Standard,Android,Card
C10315,26,Male,Bengaluru,409,Standard,Web,Net Banking
C10316,18,Male,Hyderabad,514,Standard,Android,Card
C10317,43,Male,Kolkata,1505,Premium,iOS,Net Banking
C10318,30,Male,Bengaluru,1746,Premium,Android,UPI
C10319,18,Female,Gurugram,744,Standard,Android,Card
C10320,23,Male,Noida,2021,Premium,Android,UPI
C10321,20,Male,Chennai,153,Basic,Android,Card
C10322,30,Female,Bengaluru,1277,Standard,Android,UPI
C10323,33,Female,Chennai,526,Basic,Android,Card
C10324,26,Female,Lucknow,1965,Basic,Android,UPI
C10325,38,Male,Kolkata,1670,Basic,Android,Wallet
C10326,32,Female,Jaipur,157,Basic,Android,Net Banking
C10327,41,Female,Chennai,877,Premium,Android,Card
C10328,28,Female,Pune,1648,Standard,Android,UPI
C10329,58,Male,Bengaluru,1212,Premium,Android,Card
C10330,26,Female,Ahmedabad,1092,Standard,iOS,Card
C10331,23,Female,Delhi,326,Standard,Android,UPI
C10332,22,Male,Kolkata,1268,Basic,Android,Card
C10333,29,Female,Lucknow,231,Premium,iOS,Net Banking
C10334,18,Female,Mumbai,721,Basic,Android,UPI
C10335,34,Male,Pune,549,Standard,Android,UPI
C10336,18,Female,Mumbai,1455,Premium,iOS,Net Banking
C10337,32,Female,Ahmedabad,1055,Standard,iOS,UPI
C10338,19,Female,Mumbai,952,Standard,Android,Net Banking
C10339,28,Female,Gurugram,1867,Basic,Android,Card
C10340,36,Male,Mumbai,875,Standard,Android,UPI
C10341,52,Other,Indore,1686,Basic,Android,Wallet
C10342,21,Female,Jaipur,1957,Basic,iOS,UPI
C10343,30,Male,Pune,377,Basic,iOS,UPI
C10344,24,Male,Jaipur,1645,Standard,Android,UPI
C10345,23,Male,Jaipur,185,Premium,iOS,Wallet
C10346,25,Male,Gurugram,1421,Standard,Web,UPI
C10347,38,Male,Delhi,519,Standard,Web,UPI
C10348,27,Male,Pune,585,Standard,Android,UPI
C10349,51,Male,Mumbai,1879,Basic,Web,Card
C10350,35,Female,Pune,434,Standard,Android,UPI
C10351,22,Male,Delhi,1149,Basic,Android,UPI
C10352,28,Male,Pune,1724,Standard,Android,UPI
C10353,24,Male,Pune,1780,Premium,Android,Card
C10354,38,Female,Hyderabad,474,Basic,Android,Card
C10355,18,Female,Chennai,831,Basic,Android,Card
C10356,19,Female,Jaipur,1249,Basic,iOS,Card
C10357,26,Male,Jaipur,1311,Standard,iOS,Net Banking
C10358,37,Male,Chennai,384,Basic,iOS,Card
C10359,42,Male,Pune,1320,Standard,Android,Card
C10360,43,Female,Gurugram,33,Basic,Android,UPI
C10361,36,Female,Mumbai,1389,Standard,iOS,Wallet
C10362,30,Female,Mumbai,1626,Premium,iOS,Net Banking
C10363,38,Female,Mumbai,1050,Basic,Android,Card
C10364,21,Male,Kolkata,562,Standard,Web,UPI
C10365,18,Male,Hyderabad,549,Basic,iOS,UPI
C10366,35,Male,Jaipur,1527,Basic,iOS,Wallet
C10367,22,Male,Kolkata,959,Standard,iOS,UPI
C10368,30,Female,Bengaluru,2045,Basic,iOS,UPI
C10369,32,Male,Kanpur,2145,Premium,iOS,UPI
C10370,33,Male,Jaipur,972,Standard,iOS,UPI
C10371,39,Male,Bengaluru,620,Premium,Android,UPI
C10372,38,Male,Bengaluru,1792,Basic,Android,Card
C10373,33,Female,Bengaluru,1602,Standard,Android,UPI
C10374,27,Female,Delhi,386,Standard,Web,UPI
C10375,32,Male,Delhi,2080,Basic,Android,Card
C10376,26,Male,Gurugram,464,Standard,Android,Card
C10377,29,Male,Hyderabad,1258,Premium,Android,Card
C10378,55,Female,Hyderabad,435,Premium,Android,Wallet
C10379,33,Male,Ahmedabad,1091,Premium,Web,UPI
C10380,35,Female,Chennai,1385,Basic,iOS,UPI
C10381,25,Male,Gurugram,292,Premium,Android,UPI
C10382,40,Female,Jaipur,592,Premium,iOS,UPI
C10383,38,Male,Chennai,1664,Standard,Web,Net Banking
C10384,38,Female,Hyderabad,2104,Basic,iOS,UPI
C10385,33,Female,Chandigarh,2007,Basic,iOS,UPI
C10386,40,Female,Ahmedabad,1661,Basic,iOS,UPI
C10387,42,Male,Gurugram,2158,Basic,iOS,UPI
C10388,34,Male,Mumbai,388,Premium,Web,Card
C10389,30,Other,Lucknow,467,Premium,iOS,Card
C10390,39,Male,Kolkata,910,Premium,Android,Card
C10391,23,Male,Mumbai,2026,Basic,Android,UPI
C10392,25,Male,Pune,1763,Standard,Android,UPI
C10393,31,Female,Kolkata,833,Standard,Android,Card
C10394,18,Male,Mumbai,65,Standard,iOS,UPI
C10395,38,Male,Hyderabad,1373,Standard,Web,UPI
C10396,22,Male,Lucknow,700,Premium,Android,Net Banking
C10397,27,Female,Bengaluru,515,Standard,Android,UPI
C10398,29,Female,Hyderabad,494,Standard,iOS,UPI
C10399,31,Female,Hyderabad,569,Basic,Android,Wallet
C10400,28,Male,Bengaluru,722,Basic,Android,Net Banking
C10401,30,Male,Noida,1373,Standard,iOS,UPI
C10402,30,Male,Jaipur,385,Standard,Android,Net Banking
C10403,27,Male,Mumbai,1082,Premium,iOS,UPI
C10404,24,Male,Chandigarh,2028,Basic,iOS,Card
C10405,41,Female,Kanpur,2122,Basic,iOS,UPI
C10406,18,Female,Bengaluru,1830,Premium,Android,Wallet
C10407,29,Male,Lucknow,603,Standard,Android,Card
C10408,27,Female,Mumbai,347,Standard,Android,UPI
C10409,35,Female,Chandigarh,1935,Premium,Android,UPI
C10410,18,Female,Kolkata,906,Standard,Android,UPI
C10411,27,Female,Kolkata,1029,Standard,iOS,UPI
C10412,30,Male,Mumbai,955,Basic,Android,UPI
C10413,41,Male,Kanpur,321,Standard,iOS,UPI
C10414,34,Other,Mumbai,1595,Standard,iOS,Card
C10415,20,Male,Delhi,548,Standard,Android,Card
C10416,27,Female,Delhi,535,Standard,Android,UPI
C10417,39,Female,Jaipur,1669,Basic,Android,UPI
C10418,20,Male,Delhi,1576,Basic,iOS,UPI
C10419,30,Female,Noida,1823,Standard,Android,UPI
C10420,31,Other,Kolkata,1562,Standard,Android,UPI
C10421,28,Female,Mumbai,115,Basic,iOS,UPI
C10422,55,Male,Mumbai,935,Premium,Android,UPI
C10423,27,Male,Mumbai,919,Basic,Android,UPI
C10424,35,Male,Pune,727,Standard,Android,UPI
C10425,24,Male,Jaipur,1102,Standard,Android,Wallet
C10426,36,Male,Delhi,1108,Standard,iOS,Net Banking
C10427,39,Female,Lucknow,1364,Basic,iOS,UPI
C10428,26,Male,Mumbai,2113,Basic,Android,Card
C10429,31,Male,Jaipur,1441,Basic,iOS,Card
C10430,23,Male,Noida,2053,Basic,Android,UPI
C10431,21,Male,Jaipur,1832,Basic,Android,Net Banking
C10432,40,Female,Kolkata,1623,Standard,iOS,UPI
C10433,26,Female,Lucknow,623,Standard,Android,UPI
C10434,18,Male,Mumbai,1284,Basic,iOS,Net Banking
C10435,47,Female,Delhi,272,Standard,Android,UPI
C10436,24,Male,Mumbai,2034,Basic,Android,UPI
C10437,29,Male,Chennai,434,Premium,Android,Net Banking
C10438,46,Male,Ahmedabad,547,Standard,iOS,UPI
C10439,30,Female,Pune,2062,Standard,Android,Wallet
C10440,30,Female,Lucknow,294,Basic,iOS,UPI
C10441,20,Male,Delhi,1216,Standard,Android,Card
C10442,18,Male,Ahmedabad,1276,Standard,Android,UPI
C10443,30,Male,Delhi,505,Premium,iOS,UPI
C10444,34,Female,Bengaluru,875,Basic,Android,UPI
C10445,34,Female,Ahmedabad,1735,Standard,Android,Card
C10446,27,Male,Chandigarh,1573,Standard,Android,Card
C10447,31,Male,Pune,1303,Standard,Android,UPI
C10448,18,Male,Mumbai,1210,Standard,iOS,Wallet
C10449,35,Male,Pune,827,Premium,iOS,Net Banking
C10450,32,Male,Mumbai,1383,Basic,Android,Card
C10451,49,Male,Kanpur,69,Basic,iOS,Card
C10452,31,Male,Ahmedabad,182,Premium,Android,UPI
C10453,23,Male,Delhi,1728,Basic,iOS,UPI
C10454,31,Male,Mumbai,408,Standard,iOS,UPI
C10455,28,Female,Delhi,1586,Basic,Web,UPI
C10456,35,Male,Indore,65,Basic,iOS,UPI
C10457,31,Male,Hyderabad,598,Basic,Web,UPI
C10458,20,Male,Jaipur,2065,Premium,Web,Card
C10459,18,Female,Kolkata,606,Basic,Web,UPI
C10460,33,Male,Pune,2162,Basic,iOS,UPI
C10461,43,Male,Delhi,619,Basic,Android,Card
C10462,32,Male,Gurugram,1410,Basic,iOS,UPI
C10463,38,Female,Bengaluru,1484,Basic,iOS,UPI
C10464,40,Female,Pune,1405,Premium,Web,Net Banking
C10465,33,Male,Kolkata,668,Standard,iOS,UPI
C10466,24,Other,Kolkata,1676,Basic,Android,UPI
C10467,33,Female,Gurugram,703,Basic,Android,Card
C10468,42,Female,Delhi,1796,Basic,Android,Card
C10469,36,Male,Chennai,847,Basic,Android,Card
C10470,38,Female,Hyderabad,1846,Basic,iOS,UPI
C10471,27,Female,Hyderabad,2157,Premium,Android,Card
C10472,29,Male,Mumbai,1668,Basic,Android,UPI
C10473,30,Male,Mumbai,1028,Basic,Android,UPI
C10474,31,Female,Bengaluru,947,Standard,iOS,Card
C10475,42,Female,Bengaluru,848,Basic,Android,UPI
C10476,18,Other,Hyderabad,792,Standard,Android,Card
C10477,31,Male,Pune,1049,Standard,Android,Net Banking
C10478,30,Male,Kolkata,1084,Basic,Android,UPI
C10479,19,Female,Hyderabad,1590,Premium,iOS,UPI
C10480,37,Male,Hyderabad,1960,Basic,Web,Card
C10481,24,Male,Delhi,1947,Basic,Android,Net Banking
C10482,28,Female,Pune,1341,Standard,Web,UPI
C10483,48,Male,Bengaluru,2180,Standard,iOS,Card
